"GID_0","frm_sys","NAME_0","area_sq_km","rural_pop","cropland_area_ha","rural_pop_density_sq_km","cropland_ha_capita"
"NGA","11. Agro-pastoral","Nigeria",271994.360005317,44516057.1949065,13263617.9739038,163.66536862763,0.297951319359466
"NGA","2. Humid lowland tree crop","Nigeria",87740.848071215,30672128.1487777,5667081.83478734,349.576381161516,0.184763241966736
"NGA","7. Root and tuber crop","Nigeria",101854.632448636,26286304.926803,6353404.53729213,258.076675501812,0.241700176384009
"NGA","8. Cereal-root crop mixed","Nigeria",352735.828815993,37988588.4744328,18905795.1986489,107.696994098804,0.497670378339351
"NIC","Coastal plantation and mixed","Nicaragua",91922.6352715766,3505583.98608884,2866682.15662971,38.1362433282285,0.817747390450643
"NIC","Maize-beans (Mesoamerica)","Nicaragua",35614.0430916898,1993854.04053909,970425.987920066,55.9850516102827,0.486708639744607
"NPL","Highland mixed","Nepal",76541.1615418737,11647491.1178904,1743820.14572984,152.17290779574,0.149716374803785
"NPL","Rice-wheat","Nepal",28517.0270889583,16877563.8421396,2258280.97683859,591.841631650115,0.133803728900741
"NPL","Sparse (mountain)","Nepal",32341.7220577469,204661.919549577,87368.9440489695,6.3281082925686,0.426893992987325
"PAK","Highland mixed","Pakistan",64814.7705467023,26935846.2253922,3300249.18607223,415.581911317322,0.122522573022455
"PAK","Pastoral","Pakistan",80372.4939203259,3941697.88258708,177082.918173836,49.0428713894896,0.044925543115854
"PAK","Rice-wheat","Pakistan",240987.750606397,117750829.061253,20536031.7364127,488.617486843032,0.174402438608139
"PAK","Sparse (arid)","Pakistan",393606.120290378,15141916.0375496,1957704.17128285,38.4697169504854,0.129290386132643
"PAK","Sparse (mountain)","Pakistan",80650.8382468981,1638498.24157085,69848.122617559,20.3159480693168,0.0426293546403776
"PER","Forest based","Peru",672465.071574123,2406510.71747909,1539789.9540646,3.57864046655371,0.639843381074815
"PER","High altitude mixed(CentralAndes)","Peru",449144.894394383,9426177.16002326,2261137.70434131,20.9869404676932,0.239878549485668
"PER","Irrigated","Peru",99464.7347323178,5537739.37970396,1238553.52560226,55.6754049021221,0.223656882471141
"PHL","Lowland rice","Philippines",38288.4288149068,13072145.9554892,1858791.34463715,341.412441306546,0.142194812616563
"PHL","Upland intensive mixed","Philippines",125216.028301347,22635779.1240324,5921830.36341082,180.773814910954,0.261613719190412
"PNG","Roor-tuber","Papua New Guinea",140811.566103366,2774245.90926696,2055030.98458544,19.7018326408674,0.740753001643044
"PNG","Sparse (forest)","Papua New Guinea",269144.429295852,4994662.55033137,1256422.66657737,18.5575550027122,0.25155306367875
"PRK","Upland intensive mixed","North Korea",116.971394947162,32171.5740869343,10049.8888329958,275.037962071555,0.312384119155592
"PRY","Cereal-livestock (Campos)","Paraguay",201916.540982416,4571498.62514552,4487820.98507518,22.6405355544578,0.98169579673281
"PRY","Extensive dryland mixed (granChac","Paraguay",192504.404993556,124445.80285519,1985559.93792155,0.64645691021645,15.9552181943172
"PSE","Dryland mixed","Palestina",5734.32647658065,1767442.07477623,191163.168003524,308.221389555439,0.108158095097813
"PSE","Pastoral","Palestina",338.983741284941,119824.015607834,20340.8079772033,353.48012607812,0.169755686070276
"RWA","5. Highland perennial","Rwanda",23958.5455629954,11276042.7378696,1093113.59211114,470.648049491189,0.0969412423775247
"SDN","1. Irrigated","Sudan",172390.062988117,14862468.0272322,3954270.68707439,86.2141806181524,0.266057473081124
"SDN","11. Agro-pastoral","Sudan",292734.413165911,7202800.77747726,9869056.90181729,24.605240974504,1.37016935588129
"SDN","12. Pastoral","Sudan",336417.713867174,10052716.2659008,5770387.74519367,29.881649662092,0.574012793414557
"SDN","13. Arid pastoral-oases","Sudan",1009387.6611756,5240998.85842923,59391.2083898732,5.19225572098355,0.0113320399401257
"SEN","11. Agro-pastoral","Senegal",103704.585695107,7848004.11456567,4336085.38330104,75.6765389106215,0.552508041535477
"SEN","12. Pastoral","Senegal",42378.3846980112,1924645.788939,199490.156051528,45.4157420735605,0.103650322151746
"SEN","8. Cereal-root crop mixed","Senegal",40764.8867679264,1592476.67277095,539749.515027217,39.0649109817692,0.33893715635284
"SLE","14. Artisanal fishing","Sierra Leone",10112.8322413605,945214.802535087,606276.688207335,93.4668725808828,0.641416836237951
"SLE","2. Humid lowland tree crop","Sierra Leone",19563.7190078601,1807088.57960606,1132327.97341689,92.3693792003465,0.626603469357178
"SLE","7. Root and tuber crop","Sierra Leone",33740.3236822301,1771420.17060471,1780884.02834545,52.5015760752069,1.00534252567392
"SLE","8. Cereal-root crop mixed","Sierra Leone",8619.67190716757,310257.856225014,130720.089891296,35.9941607483949,0.42132725173119
"SLV","Coastal plantation and mixed","El Salvador",11224.3761245857,3008335.44173992,614625.756301053,268.018053595916,0.204307587436318
"SLV","Maize-beans (Mesoamerica)","El Salvador",8926.48041683309,1346512.94415024,686546.052371586,150.844776583059,0.509869626841837
"SOM","1. Irrigated","Somalia",46108.2996622116,2887642.05489735,1803127.83625102,62.627381101714,0.624429136981495
"SOM","11. Agro-pastoral","Somalia",84438.3847425877,1564081.17389703,727045.565929394,18.5233431296106,0.464838768001986
"SOM","12. Pastoral","Somalia",380794.754267691,4854378.77527568,3298996.41985635,12.7480190335373,0.67959188447733
"SOM","13. Arid pastoral-oases","Somalia",121339.481503108,943406.656666994,136725.776445432,7.77493561848482,0.144927720701565
"SSD","11. Agro-pastoral","South Sudan",35393.4687400791,370958.216445208,1258004.95988391,10.4809793911253,3.39123088292539
"SSD","7. Root and tuber crop","South Sudan",61355.2107280001,1565045.69070899,1467053.64007887,25.5079507044179,0.937387099167862
"SSD","8. Cereal-root crop mixed","South Sudan",407726.568725523,7496553.15013369,5361888.39866449,18.3862267636041,0.715247166435266
"SSD","9. Maize mixed","South Sudan",107538.700926941,6889550.16943294,3235199.08266171,64.0657745541627,0.469580597150654
"SUR","Coastal plantation and mixed","Suriname",85465.8659521592,428274.218941605,453792.596777361,5.01105574921967,1.05958420261397
"SUR","Forest based","Suriname",60130.2173367492,7716.98150658282,195445.083491459,0.128337828273016,25.3266232820098
"SWZ","16. Perennial mixed","Swaziland",17383.2579757979,1018642.65807881,635129.391784629,58.5990646573291,0.623505590255272
"SYR","Dryland mixed","Syria",50285.5367120471,7425332.34878589,2322679.73326217,147.663380651697,0.312804817907167
"SYR","Irrigated","Syria",15091.5746669197,1571464.42750818,459060.949307896,104.128592422683,0.29212302949537
"SYR","Pastoral","Syria",74363.4594874176,2258100.47036941,253527.109890691,30.3657264728449,0.112274503821885
"SYR","Rainfed mixed","Syria",17413.1125160414,5555612.99191141,1438299.46712995,319.047670931514,0.25889122752503
"SYR","Sparse (arid)","Syria",26920.9125111362,62334.1421013689,82.8439611634731,2.31545428022113,0.00132903026127721
"TCD","11. Agro-pastoral","Chad",230730.697034518,4695996.52182096,5017937.7267388,20.3527167480382,1.06855652541944
"TCD","12. Pastoral","Chad",208268.7567175,4003661.24403083,1161584.53813702,19.2235326466248,0.290130574825444
"TCD","13. Arid pastoral-oases","Chad",668813.421182657,1046636.47268561,12287.8568167047,1.56491547498381,0.0117403292713226
"TCD","8. Cereal-root crop mixed","Chad",139692.894551343,5370484.52927776,2921631.48795031,38.4449369921522,0.544016367987419
"TGO","2. Humid lowland tree crop","Togo",3358.65184782164,250862.868140221,85816.1282695189,74.6915368149651,0.342083820159274
"TGO","7. Root and tuber crop","Togo",23348.2693930524,2399895.5297122,974251.362862268,102.786869952182,0.405955738822974
"TGO","8. Cereal-root crop mixed","Togo",28694.9072324303,2567455.20529556,1267280.06750546,89.4742465796816,0.493593837544507
"THA","Highland extensive mixed","Thailand",36266.7859662884,1412377.3400054,420364.199767198,38.944100018079,0.297628819055955
"THA","Lowland rice","Thailand",278939.824662621,34988343.9762708,24759227.1547418,125.433304543693,0.707642155671429
"THA","Sparse (forest)","Thailand",40354.188849913,933023.765678942,737665.779686865,23.1208653245165,0.790618424547933
"THA","Tree crop-mixed","Thailand",61890.2388050457,5831743.6211652,3106444.09017586,94.2271953342304,0.532678439240987
"THA","Upland intensive mixed","Thailand",73216.9521384158,4366826.23826081,2544465.93849145,59.6422837979568,0.582680830347132
"TJK","Pastoral","Tajikistan",140771.04331632,7226292.55886369,2822366.76764904,51.3336577510889,0.390569125821949
"TKM","Pastoral","Turkmenistan",176875.738655456,4829283.39702664,2291870.93134111,27.3032550068035,0.474577849946061
